,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
1493,I Hate Everything About You,Three Days Grace,Three Days Grace,2003-04-19,3.858,74,0.498,0.00461,0.83,0.0,0.139,-5.157,0.0421,89.34200000000001,4,0
1498,Duality,Vol. 3: The Subliminal Verses,Slipknot,2004,4.210216666666667,81,0.354,0.00023700000000000001,0.982,0.000294,0.204,-3.0260000000000002,0.168,143.77200000000002,4,0
1503,4EVER,4EVER,Clairo,2018-04-27,2.6599166666666667,73,0.75,0.049,0.585,0.005520000000000001,0.155,-7.5760000000000005,0.0285,102.331,4,0
1505,4:44,4:44,JAY-Z,2017-07-07,4.74155,73,0.261,0.139,0.852,4.26e-05,0.47700000000000004,-4.965,0.158,177.997,4,0
1506,Lost in the Fire (feat. The Weeknd),Hyperion,Gesaffelstein,2019-03-08,3.368216666666666,86,0.6579999999999999,0.0933,0.6709999999999999,0.000927,0.115,-12.21,0.0363,100.96600000000001,4,0
1509,Sex on Fire,Only By The Night,Kings of Leon,2008-09-23,3.3891,82,0.542,0.00172,0.905,0.0104,0.136,-5.653,0.054000000000000006,153.398,4,0
1516,Set Fire to the Rain,21,Adele,2011-01-24,4.04955,79,0.603,0.004079999999999999,0.67,1.68e-06,0.11199999999999999,-3.8819999999999997,0.0249,107.993,4,0
1529,Girl On Fire,Girl On Fire,Kameron Marlowe,2022-06-10,2.8835166666666665,71,0.591,0.435,0.758,0.0,0.179,-5.4,0.0719,82.008,4,0
1537,Girl on Fire,Girl on Fire (Remixes) - EP,Alicia Keys,2012-11-18,3.748666666666667,78,0.48200000000000004,0.135,0.706,0.00106,0.105,-5.7620000000000005,0.0607,92.51299999999999,4,0
1539,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,1969-09-26,3.09555,83,0.557,0.0339,0.54,0.00248,0.179,-10.484000000000002,0.0347,129.171,4,0
1540,4 Minutes (feat. Justin Timberlake & Timbaland),Celebration (double disc version),Madonna,2009-09-18,3.16155,72,0.753,0.009940000000000001,0.9309999999999999,0.006959999999999999,0.23399999999999999,-4.922,0.0652,113.029,4,0
1548,We Didn't Start the Fire,Storm Front,Billy Joel,1989-10-17,4.79555,76,0.7120000000000001,0.0771,0.9670000000000001,0.0,0.35600000000000004,-5.206,0.047,145.024,4,0
1553,5% TINT,ASTROWORLD,Travis Scott,2018-08-03,3.2689666666666666,79,0.7120000000000001,0.17300000000000001,0.48100000000000004,0.0,0.24100000000000002,-5.415,0.0487,140.0,4,0
1558,I'm Gonna Be (500 Miles),Finest,The Proclaimers,2003-09-01,3.657766666666667,73,0.851,0.151,0.551,0.0,0.0827,-5.1770000000000005,0.0396,131.922,4,0
