,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
821,Que Malo,YHLQMDLG,Bad Bunny,2020-02-29,2.7995833333333335,75,0.802,0.0832,0.787,0.0,0.153,-6.181,0.0599,94.026,4
822,Baby (Lil Baby feat. DaBaby),Quality Control: Control The Streets Volume 2,Quality Control,2019-08-16,2.3736166666666665,77,0.97,0.0957,0.463,0.0,0.151,-7.259,0.366,108.003,4
823,Que Calor,Supermerk2 & Meta Guacha: 2x1,Meta Guacha,2009-01-01,4.07755,52,0.83,0.176,0.873,1.71e-06,0.155,-3.811,0.059,87.414,4
824,Quicksand,Street Sermons,Morray,2021-04-28,3.748883333333333,66,0.901,0.0807,0.656,0.0,0.181,-7.452,0.277,119.956,4
825,21 Questions,Get Rich Or Die Tryin',50 Cent,2003-02-06,3.7404333333333333,73,0.576,0.353,0.807,0.000363,0.0512,-3.908,0.317,90.012,4
826,Queen of Mean,Descendants 3 (Original TV Movie Soundtrack),Descendants 3 – Cast,2019-08-02,3.156616666666667,66,0.543,0.248,0.787,0.0,0.0778,-6.52,0.241,173.702,4
827,"Quiet, Heavy Dreams","Quiet, Heavy Dreams",Zach Bryan,2020-11-27,2.90425,64,0.639,0.814,0.135,0.0,0.102,-8.922,0.0389,84.493,4
828,Pa' Que Retozen,El Abayarde,Tego Calderón,2003-07-01,2.5277666666666665,83,0.815,0.4,0.856,8.34e-05,0.244,-3.825,0.122,91.995,4
829,Que Vas a Hacer,"Blin Blin, Vol. 1",Various Artists,2003-04-09,3.302216666666667,45,0.84,0.00664,0.532,4.86e-05,0.0566,-9.987,0.062,93.021,4
830,Quédate Conmigo,Quédate Conmigo,Edicion Especial,2022-06-10,3.2277666666666667,72,0.878,0.457,0.708,4.43e-06,0.297,-3.841,0.0541,100.502,3
831,Collard Greens,Oxymoron (Deluxe),ScHoolboy Q,2014-01-01,4.999333333333333,79,0.825,0.025,0.575,9.94e-06,0.205,-4.87,0.0633,153.954,4
832,¿Qué Nos Pasó?,¿Qué Nos Pasó?,Anuel AA,2022-05-26,4.095633333333334,77,0.703,0.436,0.694,5.8e-06,0.12,-4.808,0.0607,95.0,4
833,Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),Queen,1975-11-21,5.905333333333333,74,0.392,0.288,0.402,0.0,0.243,-9.961,0.0536,143.883,4
834,"Que Sera Sera (Whatever Will Be, Will Be) [From ""The Man Who Knew Too Much""] (with Frank DeVol & His Orchestra)",Doris Day - Her Greatest Songs,Doris Day,2020-04-10,2.0813333333333333,52,0.4,0.855,0.422,0.0,0.722,-9.16,0.0379,175.838,4
835,Que No Quede Huella,A Todo Galope,Bronco,1989-01-01,2.9422166666666665,63,0.646,0.494,0.732,1.79e-05,0.115,-7.067,0.0488,78.744,4
836,Don't Stop Me Now - Remastered 2011,Jazz (Deluxe Remastered Version),Queen,1978-11-10,3.4902166666666665,74,0.563,0.0472,0.865,0.000191,0.77,-5.277,0.16,156.271,4
837,queen of broken hearts,everything means nothing,blackbear,2020-08-21,2.85285,67,0.717,0.00663,0.712,0.0,0.0756,-6.098,0.0765,97.019,4
838,Kings & Queens,Heaven & Hell,Ava Max,2020-09-18,2.7066333333333334,82,0.637,0.00786,0.69,0.0,0.124,-4.057,0.0405,129.857,4
839,Q-Pid,Q-Pid,2Rare,2022-08-15,2.1978,64,0.63,0.29,0.901,0.0,0.555,-5.677,0.287,145.722,4
840,Qué Maldición,Qué Maldición,Banda MS de Sergio Lizárraga,2020-05-01,3.3893333333333335,68,0.755,0.213,0.531,0.0,0.13,-8.051,0.196,177.951,4
841,Queen of Hearts,BETWEEN 1&2,TWICE,2022-08-26,3.1157666666666666,73,0.666,0.102,0.847,0.0,0.0702,-2.526,0.106,149.94,4
842,Another One Bites The Dust - Remastered 2011,The Game (Deluxe Remastered Version),Queen,1980-06-27,3.57755,74,0.933,0.112,0.528,0.329,0.163,-6.472,0.162,109.975,4
843,Quand vous souriez,Quand vous souriez,Libor Kolman,2022-08-12,1.9708333333333334,69,0.484,0.996,0.059,0.948,0.106,-25.084,0.0517,89.329,3
844,Mayor Que Usted,Mayor Que Usted,Natti Natasha,2022-06-17,3.891983333333333,82,0.625,0.00762,0.839,2.35e-05,0.464,-4.824,0.0927,184.08,4
845,Que Esta Pasando,Que Esta Pasando,Fuerza Regida,2021-04-30,2.7079166666666667,71,0.566,0.579,0.709,0.0,0.14,-2.86,0.0455,104.971,1
846,Que Triste,Que Triste,Piso 21,2022-09-15,3.7723166666666668,73,0.724,0.508,0.588,0.0,0.342,-5.342,0.131,144.977,3
847,No Me Quise Ir,Dañado,Ivan Cornejo,2022-06-02,3.5057666666666667,71,0.342,0.0101,0.463,0.000712,0.12,-11.716,0.0354,85.05,4
848,Que Cojones,Que Cojones,Eladio Carrion,2022-08-03,2.6885166666666667,73,0.382,0.459,0.618,0.0,0.128,-7.201,0.0942,183.061,4
849,ALIEN SUPERSTAR,RENAISSANCE,Beyoncé,2022-07-29,3.5909833333333334,85,0.545,0.00453,0.641,6.59e-05,0.171,-6.398,0.0998,121.892,4
850,Romantic Homicide,Romantic Homicide,d4vd,2022-07-20,2.2105,93,0.571,0.453,0.544,0.00805,0.322,-10.613,0.0299,132.052,4
851,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.014,87,0.625,0.659,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
852,Runaway,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,9.128883333333333,81,0.374,0.219,0.568,0.00219,0.513,-3.825,0.109,84.733,4
853,Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,3.459,84,0.582,0.577,0.568,0.0,0.105,-7.3,0.0275,121.991,3
854,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,4.879983333333334,89,0.69,0.324,0.521,0.0,0.0534,-8.492,0.339,100.028,4
855,Revenge,17,XXXTENTACION,2017-08-25,2.0004333333333335,88,0.746,0.782,0.251,0.00203,0.106,-16.169,0.259,139.999,4
856,Rattlin' Bog,Pint of Ale,Carlyle Fraser,2013-01-01,5.462433333333333,50,0.487,0.732,0.794,0.0,0.343,-6.367,0.0656,131.421,3
857,RAPSTAR,Hall of Fame,Polo G,2021-06-11,2.765416666666667,83,0.789,0.41,0.536,0.0,0.129,-6.862,0.242,81.039,4
858,Rocky Top,Bluegrass Then & Now,Various Artists,2008-05-20,2.6671,48,0.549,0.0763,0.673,0.000231,0.331,-5.373,0.0296,156.814,4
859,Ric Flair Drip (with Metro Boomin),Without Warning,21 Savage,2017-10-30,2.88,83,0.88,0.149,0.428,5.05e-05,0.114,-8.28,0.206,100.007,4
860,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.5747666666666666,93,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4
861,Remember,Remember,Becky Hill,2021-06-18,2.6794333333333333,78,0.612,0.041,0.862,0.0,0.0907,-2.903,0.037,123.849,4
862,Riptide,Dream Your Life Away (Special Edition),Vance Joy,2014-09-09,3.4046666666666665,81,0.484,0.431,0.731,0.0,0.151,-6.694,0.0379,101.654,4
863,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,1985-02-25,4.191466666666667,88,0.645,0.347,0.795,0.00389,0.104,-12.095,0.0527,112.067,4
864,Remember - Acoustic,Remember (Acoustic),Becky Hill,2021-07-09,2.9771,68,0.62,0.797,0.379,0.0,0.195,-8.675,0.0412,118.899,4
865,Robbery,Death Race For Love (Bonus Track Version),Juice WRLD,2019-03-08,4.0008333333333335,83,0.623,0.328,0.692,0.0,0.153,-5.122,0.0504,79.899,4
866,Bad Habit,Gemini Rights,Steve Lacy,2022-07-15,3.867766666666667,90,0.686,0.613,0.494,5.8e-05,0.402,-7.093,0.0355,168.946,4
867,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,3.6357666666666666,85,0.585,0.124,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,4
868,Un Ratito,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.948933333333333,88,0.787,0.305,0.546,4.55e-05,0.122,-7.094,0.0532,93.05,4
869,rises the moon,recently,Liana Flores,2019-04-10,2.6988166666666666,81,0.483,0.947,0.129,0.145,0.106,-20.149,0.0349,137.35,3
870,Lovers Rock,French Exit,TV Girl,2014-06-05,3.5653333333333332,83,0.559,7.53e-06,0.871,0.00545,0.096,-5.338,0.0397,104.97,4
871,Runnin,SAVAGE MODE II,21 Savage,2020-10-02,3.2651,80,0.819,0.00748,0.626,0.101,0.167,-4.574,0.202,143.01,4
872,Run Boy Run,The Golden Age,Woodkid,2013-01-01,3.5544333333333333,76,0.506,0.084,0.959,0.000655,0.135,-5.264,0.102,133.996,4
873,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,2.47475,97,0.704,0.0826,0.797,0.000745,0.0546,-5.927,0.0475,139.994,4
874,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,6.058683333333334,78,0.708,0.397,0.843,0.0,0.799,-2.66,0.314,148.14,4
875,Real Spill,It's Only Me,Lil Baby,2022-10-14,3.3120333333333334,70,0.776,0.0496,0.557,0.0,0.112,-7.441,0.545,156.978,4
876,Return of the Mack,Return of the Mack,Mark Morrison,1996-04-22,3.55155,76,0.715,0.00631,0.833,0.0,0.164,-5.379,0.108,95.487,4
877,raining for hours,grey cloud,ame,2021-08-13,2.191666666666667,82,0.231,0.152,0.976,0.987,0.48,-27.426,0.0487,96.552,5
878,Static,Gemini Rights,Steve Lacy,2022-07-15,2.608433333333333,88,0.335,0.434,0.305,0.631,0.101,-12.661,0.0741,79.001,5
879,Rasputin,Nightflight to Venus,Boney M.,1978,5.85955,66,0.639,0.289,0.893,0.00816,0.222,-6.509,0.036,126.143,4
880,Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,3.3714166666666667,80,0.852,0.428,0.421,2.28e-06,0.106,-9.153,0.208,95.977,4
881,CUFF IT,RENAISSANCE,Beyoncé,2022-07-29,3.756466666666667,93,0.78,0.0368,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,4
882,Ribs,Pure Heroine,Lorde,2013-09-27,4.31615,80,0.511,0.534,0.472,0.614,0.11,-9.277,0.091,127.978,4
883,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,4.296666666666667,84,0.828,0.0644,0.492,0.00428,0.128,-9.744,0.0276,120.151,4
884,Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.7938,91,0.829,0.0151,0.799,0.000543,0.242,-5.389,0.0897,97.013,4
885,Runnin' Thru the 7th with My Woadies,$outh $ide $uicide,$uicideboy$,2015-09-15,3.4294333333333333,77,0.686,0.0656,0.621,0.000221,0.139,-7.243,0.187,112.082,4
886,flow down like water,"Neo-Classical Essentials, Vol. 2",Various Artists,2022-06-17,2.9649,53,0.399,0.993,0.0304,0.918,0.0619,-26.337,0.0402,118.062,4
887,Rosyln,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),Various Artists,2009-10-09,4.826,78,0.329,0.971,0.277,0.024,0.0971,-13.111,0.0302,159.719,3
888,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,4.736666666666666,88,0.949,0.0302,0.661,0.0,0.0454,-4.244,0.0572,104.504,4
889,Love Sosa,Finally Rich,Chief Keef,2012-01-01,4.10355,82,0.772,0.0361,0.413,0.0,0.111,-8.193,0.089,131.965,4
890,Russian Roulette,It's Only Me,Lil Baby,2022-10-14,2.9313833333333332,62,0.596,0.0395,0.659,0.0,0.124,-5.686,0.35,81.188,4
891,Music For a Sushi Restaurant,Harry's House,Harry Styles,2022-05-20,3.2302166666666667,85,0.72,0.258,0.715,0.0568,0.107,-4.652,0.04,107.041,4
892,Detox,Detox,Lil Baby,2022-09-02,2.6939333333333333,80,0.845,0.027,0.503,0.0,0.116,-7.021,0.334,147.031,4
893,Rich Nigga Shit (feat. Young Thug),SAVAGE MODE II,21 Savage,2020-10-02,3.1721833333333334,78,0.825,0.349,0.733,0.0,0.112,-5.625,0.0969,97.974,4
894,Is This Love,Kaya,Bob Marley & The Wailers,1978,3.87,77,0.776,0.11,0.559,0.0,0.0671,-8.375,0.103,122.242,4
895,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,4.69355,82,0.601,0.432,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,4
896,Fuck Love (feat. Trippie Redd),17,XXXTENTACION,2017-08-25,2.442,83,0.797,0.0172,0.533,0.000152,0.103,-9.74,0.0412,131.036,4
897,Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,1987-07-21,5.934433333333334,80,0.446,0.0901,0.952,0.0857,0.112,-5.321,0.0523,125.303,4
898,Right On,Right On,Lil Baby,2022-04-08,3.56625,77,0.535,0.0245,0.618,0.0,0.103,-5.668,0.382,165.991,4
899,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
900,Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,3.8002166666666666,89,0.369,0.555,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,3
901,Bad Habit,Bad Habit,Steve Lacy,2022-06-29,3.8685666666666667,93,0.686,0.626,0.507,7.51e-05,0.383,-7.097,0.0357,168.955,4
902,Super Freaky Girl,Super Freaky Girl,Nicki Minaj,2022-08-12,2.8496166666666665,93,0.95,0.0645,0.891,1.77e-05,0.309,-2.653,0.241,133.01,4
903,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,3.6394,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4
904,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,2.6157166666666667,100,0.714,0.013,0.472,4.51e-06,0.266,-7.375,0.0864,131.121,4
905,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,4.006666666666667,93,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
906,Bad Habit,Gemini Rights,Steve Lacy,2022-07-15,3.867766666666667,90,0.686,0.613,0.494,5.8e-05,0.402,-7.093,0.0355,168.946,4
907,Sunroof,Sunroof,Nicky Youre,2021-12-03,2.7170833333333335,93,0.768,0.352,0.714,0.0,0.15,-5.11,0.0401,131.443,4
908,I'm So Sick,Flyleaf,Flyleaf,2006-01-01,2.9313333333333333,73,0.429,6.46e-05,0.96,6.27e-06,0.102,-4.261,0.0914,153.932,4
909,Static,Gemini Rights,Steve Lacy,2022-07-15,2.608433333333333,88,0.335,0.434,0.305,0.631,0.101,-12.661,0.0741,79.001,5
910,Mo Bamba,MUDBOY,Sheck Wes,2018-10-05,3.0651,79,0.729,0.194,0.625,0.00986,0.248,-5.266,0.0315,146.034,4
911,She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-04-08,3.4351,83,0.607,0.124,0.912,0.0,0.332,-3.449,0.0611,134.944,4
912,Enter Sandman (Remastered),Metallica (Remastered),Metallica,1991-08-12,5.526,78,0.566,0.00277,0.834,0.008,0.0625,-8.412,0.0298,123.296,4
913,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,3.0064333333333333,85,0.558,0.371,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,4
914,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,3.214,92,0.733,0.121,0.67,0.0,0.121,-6.009,0.0751,100.964,4
915,Ms. Jackson,Stankonia,Outkast,2000-10-31,4.5084333333333335,83,0.843,0.143,0.806,0.0,0.0771,-5.946,0.269,94.948,4
916,Shut Down,BORN PINK,BLACKPINK,2022-09-16,2.9314833333333334,89,0.82,0.00412,0.686,0.0,0.184,-5.102,0.038,110.058,3
917,I'm Not The Only One,In The Lonely Hour,Sam Smith,2014-05-26,3.9886,89,0.677,0.529,0.485,2.04e-05,0.0766,-5.795,0.0361,82.001,4
918,Shut up My Moms Calling,Shut up My Moms Calling,Hotel Ugly,2020-02-10,2.74285,85,0.485,0.325,0.409,0.0,0.103,-10.711,0.101,138.419,4
919,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,3.0484333333333336,90,0.801,0.0777,0.601,3.23e-05,0.145,-7.574,0.255,159.969,4
920,The Spins,K.I.D.S.,Mac Miller,2010-08-13,3.26455,83,0.794,0.0135,0.766,0.0,0.0785,-3.894,0.0377,127.007,4
921,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-09-22,3.5095833333333335,91,0.637,0.148,0.715,0.0,0.0892,-4.971,0.0455,141.872,4
922,Stick Season,Stick Season,Noah Kahan,2022-07-08,3.0391,82,0.664,0.799,0.5,0.0,0.0966,-6.935,0.0651,117.896,4
923,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,3.4878833333333334,86,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4
924,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,2.9761166666666665,98,0.911,0.0901,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,4
925,"Sex, Drugs, Etc.",Chit Chat,Beach Weather,2016-11-04,3.279733333333333,90,0.572,0.013,0.839,0.00976,0.522,-5.083,0.0377,143.969,4
926,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.061933333333333,98,0.65,0.0993,0.715,0.000291,0.126,-5.198,0.253,106.672,4
927,Solo,HNDRXX,Future,2017-07-27,4.4332666666666665,77,0.784,0.0538,0.486,0.497,0.101,-6.497,0.0475,110.964,4
928,Starboy,Starboy,The Weeknd,2016-11-25,3.840883333333333,90,0.679,0.141,0.587,6.35e-06,0.137,-7.015,0.276,186.003,4
929,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011-10-11,3.45555,79,0.715,0.0525,0.655,0.0,0.115,-6.425,0.137,95.078,4
930,Country Girl (Shake It For Me),Tailgates & Tanlines,Luke Bryan,2011-01-01,3.759333333333333,78,0.645,0.0293,0.904,0.0,0.0834,-4.532,0.0462,105.97,4
931,SNAP,SNAP,Rosa Linn,2022-03-19,2.9925166666666665,94,0.565,0.107,0.636,9.9e-06,0.447,-8.198,0.0638,170.01,4
932,Man! I Feel Like A Woman!,Come On Over,Shania Twain,1997-11-04,3.9082166666666667,79,0.657,0.581,0.639,0.0,0.278,-7.527,0.0412,124.882,4
933,Space Song,Depression Cherry,Beach House,2015-08-28,5.3411,81,0.508,0.229,0.792,0.124,0.145,-7.311,0.0297,147.067,4
934,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,3.3156166666666667,99,0.621,0.0125,0.782,0.033,0.23,-5.548,0.044,128.033,4
935,It Wasn't Me,Hot Shot,Shaggy,2000-08-08,3.7933333333333334,79,0.853,0.0561,0.606,0.0,0.313,-4.596,0.0713,94.759,4
936,Sparks,Parachutes,Coldplay,2000-07-10,3.784883333333333,87,0.371,0.748,0.268,0.0517,0.104,-10.506,0.0281,102.617,3
